,,,,,,,IDEP,,META,,,,
092860,EMEF MARIO MOURA ALBUQUERQUE BEL EMEF,CAMPO LIMPO,JARDIM SAO LUIS,3,1,1,"4,7","4,2","4,9","5,0","5,2","5,4","5,5"
010111,EMEF MARIO SCHONBERG PROF EMEF,SANTO AMARO,PEDREIRA,3,1,1,"4,4","4,2","4,5","4,7","4,8","4,9","5,0"
093645,EMEF MAURICIO GOULART EMEF,GUAIANASES,CIDADE TIRADENTES,3,1,1,"3,9","4,2","4,0","4,2","4,4","4,5","4,7"
019266,EMEF MENINOS CEU EMEF,IPIRANGA,SACOMA,3,1,1,"4,7","4,9","4,9","5,0","5,2","5,4","5,5"
019414,EMEF MOISES ELIAS DE SOUZA TENENTE EMEF,PIRITUBA,JARAGUA,3,1,1,"4,0","4,0","4,2","4,3","4,5","4,7","4,9"
093025,EMEF PALIMERCIO DE REZENDE CORONEL EMEF,CAMPO LIMPO,CAMPO LIMPO,3,1,1,"3,8","4,0","4,0","4,2","4,5","4,7","5,0"
019384,EMEF PARAISOPOLIS CEU EMEF,CAMPO LIMPO,VILA ANDRADE,3,1,1,"4,0","4,5","4,2","4,4","4,6","4,8","5,1"
019389,EMEF PARQUE ANHANGUERA CEU EMEF,PIRITUBA,ANHANGUERA,3,1,1,"4,4","4,4","4,5","4,7","4,8","4,9","5,0"
095613,EMEF PAULO DUARTE EMEF,SAO MATEUS,SAPOPEMBA,3,1,1,"4,5","4,8","4,7","4,9","5,1","5,3","5,6"
094315,EMEF PEDRO AMERICO EMEF,FREGUESIA/BRASILANDIA,FREGUESIA DO O,3,1,1,"4,1","3,8","4,2","4,4","4,6","4,7","4,9"
019217,EMEF RECANTO DOS HUMILDES EMEF,PIRITUBA,PERUS,3,1,1,"4,2","4,6","4,3","4,5","4,6","4,8","4,9"
092843,EMEF ROBERTO MANGE PROF EMEF,BUTANTA,RIO PEQUENO,3,1,1,"3,7","3,8","3,9","4,1","4,3","4,5","4,8"
094544,EMEF RUI BLOEM EMEF,PIRITUBA,SAO DOMINGOS,3,1,1,"4,2","4,3","4,3","4,5","4,7","4,9","5,1"
008842,EMEF SEBASTIAO FRANCISCO O NEGRO EMEF,ITAQUERA,PARQUE DO CARMO,3,1,1,"4,2","4,3","4,4","4,6","4,7","4,9","5,1"
000264,EMEF SYLVIO HECK ALMIRANTE EMEF,SANTO AMARO,PEDREIRA,3,1,1,"4,4","3,8","4,6","4,8","4,9","5,1","5,2"
094374,EMEF TEOTONIO VILELA SENADOR CEU EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"3,8","3,7","4,0","4,2","4,3","4,5","4,7"
012688,EMEF ULYSSES DA SILVEIRA GUIMARAES EMEF,CAPELA DO SOCORRO,PARELHEIROS,3,1,1,"4,4","4,4","4,6","4,8","5,0","5,2","5,3"
099287,EMEF VIANNA MOOG EMEF,BUTANTA,VILA SONIA,3,1,1,"4,0","4,3","4,2","4,4","4,6","4,8","5,0"
019416,EMEF VILA MUNCK EMEF,BUTANTA,RAPOSO TAVARES,3,1,1,"5,3","5,6","5,4","5,5","5,6","5,7","5,8"
095524,EMEF VINICIUS DE MORAES EMEF,SAO MATEUS,SAPOPEMBA,3,1,1,"4,2","3,7","4,4","4,5","4,6","4,8","4,9"
093653,EMEF WLADIMIR HERZOG EMEF,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,3","3,8","4,4","4,5","4,6","4,8","4,9"
